point_a,point_b,distance,max_speed,road_condition,traffic_condition,date,departure_time,vehicle_type,driver_age,travel_time
"333 Bush St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,75.46,0,1,2023-09-27,16:26,Sedan,25,2.44
"1601 Willow Rd, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,79.5,3,1,2023-04-12,08:33,Sedan,19,2.55
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,72.26,2,1,2023-11-28,03:13,Truck,22,4.13
"120 Broadway, New York, NY","1 Infinite Loop, Cupertino, CA",2891,66.32,1,1,2023-05-04,14:26,Sedan,59,53.39
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,69.03,2,2,2023-04-01,16:55,Car/Trailer,48,38.11
"4 Pennsylvania Plaza, New York, NY","1500 Sugar Bowl Dr, New Orleans, LA",1193,75.36,3,2,2023-01-19,09:01,Semi-truck,55,21.73
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,77.47,1,1,2023-01-15,02:34,Car/Trailer,57,36.43
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,65.32,2,0,2023-03-27,17:43,SUV,27,1.28
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,66.67,2,0,2023-10-13,21:14,SUV,20,5.08
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,66.13,3,0,2023-04-30,07:30,Car/Trailer,65,39.32
"1 Hacker Way, Menlo Park, CA","1600 Amphitheatre Parkway, Mountain View, CA",128,65.17,3,0,2023-07-16,13:23,Truck,43,3.08
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,69.56,2,2,2023-12-29,22:07,Motorcycle,25,49.14
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,69.73,2,2,2023-11-14,20:46,SUV,18,11.13
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,67.49,1,0,2023-10-05,19:38,Sedan,43,7.7
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,70.77,0,2,2023-07-03,04:34,Car/Trailer,60,55.45
"4 Pennsylvania Plaza, New York, NY","1500 Sugar Bowl Dr, New Orleans, LA",1193,75.1,3,2,2023-07-10,07:04,Truck,22,22.15
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,71.87,2,1,2023-09-20,10:38,Semi-truck,64,4.14
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,72.14,1,0,2023-10-04,05:07,Semi-truck,60,14.29
"1211 Avenue of the Americas, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,67.75,1,0,2023-10-20,19:39,Sedan,22,4.95
"1 Times Square, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,68.92,1,0,2023-01-16,23:48,Semi-truck,54,6.26
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,71.99,3,0,2023-08-04,05:12,Truck,51,50.86
"742 Evergreen Terrace, Springfield, IL","1600 Amphitheatre Parkway, Mountain View, CA",2171,67.63,0,2,2023-04-16,23:47,Sedan,39,40.76
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,75.75,0,0,2023-12-03,00:43,Semi-truck,27,7.06
"30 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,69.03,2,1,2023-08-28,01:29,Motorcycle,29,4.21
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,74.67,0,0,2023-01-30,14:25,Truck,44,15.15
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,72.85,0,0,2023-05-06,19:53,Motorcycle,67,40.69
"1 Microsoft Way, Redmond, WA","701 5th Ave, Seattle, WA",16,72.51,1,1,2023-08-13,00:49,Semi-truck,33,1.97
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,69.19,3,0,2023-02-03,19:23,Motorcycle,36,5.21
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,64.62,2,2,2023-08-30,02:53,Motorcycle,35,41.39
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,67.62,0,0,2023-12-28,08:32,Truck,54,12.3
"1600 Pennsylvania Ave NW, Washington, DC","350 5th Ave, New York, NY",226,74.2,2,1,2023-10-04,02:16,Truck,45,4.69
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,65.62,2,0,2023-06-25,22:59,Motorcycle,69,4.58
"500 Terry A Francois Blvd, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,74.57,2,2,2023-08-21,13:12,Truck,54,2.49
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,69.33,1,1,2023-12-05,07:27,SUV,49,53.87
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,69.78,2,0,2023-09-03,07:22,Semi-truck,65,53.14
"11 Wall St, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,71.57,1,2,2023-01-09,03:01,Sedan,24,3.86
"333 Bush St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,70.03,3,2,2023-11-26,07:00,Truck,59,2.87
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,67.0,1,0,2023-04-05,07:41,Car/Trailer,53,4.06
